Date,Chunking,Type,Row Size,Starting Point,# of request,I/O Size (Bytes),Total Time (s)
Fri Jun 10 16:08:39 2022,Yes,One RANGE per Chunk,4096,"[512, 512]",15,50331648,3.88175
Fri Jun 10 16:08:57 2022,Yes,One RANGE per Chunk,512,"[768, 512]",34,35651584,4.07793
Fri Jun 10 16:09:15 2022,Yes,One GET Per Chunk,2048,"[512, 512]",15,62914560,4.34635
Fri Jun 10 16:09:33 2022,Yes,One GET Per Chunk,4096,"[512, 512]",15,62914560,4.88054
Fri Jun 10 16:09:51 2022,No,Multiple RANGE per Chunk,8192,"[512, 512]",8192,33554432,5.38454
Fri Jun 10 16:10:09 2022,Yes,One GET Per Chunk,512,"[768, 512]",34,142606336,5.71898
Fri Jun 10 16:10:27 2022,Yes,Multiple RANGE per Chunk,32768,"[0, 896]",65536,33554432,27.9162
Fri Jun 10 16:11:00 2022,Yes,Multiple RANGE per Chunk,4096,"[512, 512]",12288,33554432,5.41707
Fri Jun 10 16:11:18 2022,No,One RANGE per Chunk,8192,"[512, 512]",1,1073614848,196.253
Fri Jun 10 16:14:52 2022,Yes,Multiple RANGE per Chunk,8192,"[512, 512]",16384,33554432,9.91179
Fri Jun 10 16:15:10 2022,Yes,One GET Per Chunk,8192,"[512, 512]",18,75497472,5.15528
Fri Jun 10 16:15:28 2022,Yes,Multiple RANGE per Chunk,2048,"[512, 512]",10240,33554432,5.24279
Fri Jun 10 16:15:46 2022,No,One RANGE per Chunk,256,"[896, 0]",1,33554432,9.48761
Fri Jun 10 16:16:04 2022,Yes,One GET Per Chunk,256,"[896, 0]",64,268435456,6.35388
Fri Jun 10 16:16:22 2022,No,One RANGE per Chunk,16384,"[512, 768]",1,2147354624,334.231
Fri Jun 10 16:22:10 2022,No,One RANGE per Chunk,8192,"[512, 512]",1,1073614848,235.87
Fri Jun 10 16:26:14 2022,Yes,One RANGE per Chunk,32768,"[0, 896]",64,268435456,6.1782
Fri Jun 10 16:26:32 2022,Yes,Multiple RANGE per Chunk,512,"[768, 512]",8704,33554432,4.73403
Fri Jun 10 16:26:50 2022,Yes,One RANGE per Chunk,512,"[768, 512]",34,35651584,4.13302
Fri Jun 10 16:27:08 2022,Yes,One RANGE per Chunk,16384,"[512, 768]",34,134217728,5.13778
Fri Jun 10 16:27:26 2022,Yes,Multiple RANGE per Chunk,2048,"[512, 512]",10240,33554432,5.06063
Fri Jun 10 16:27:44 2022,No,Multiple RANGE per Chunk,16384,"[512, 768]",16384,33554432,10.3048
Fri Jun 10 16:28:02 2022,No,Multiple RANGE per Chunk,256,"[896, 0]",256,33554432,4.01843
Fri Jun 10 16:28:20 2022,No,One RANGE per Chunk,4096,"[512, 512]",1,536748032,124.063
Fri Jun 10 16:30:38 2022,Yes,One GET Per Chunk,16384,"[512, 768]",34,142606336,4.93401
Fri Jun 10 16:30:56 2022,Yes,One RANGE per Chunk,4096,"[512, 512]",15,50331648,5.13681
Fri Jun 10 16:31:14 2022,Yes,Multiple RANGE per Chunk,256,"[896, 0]",8192,33554432,5.42709
Fri Jun 10 16:31:32 2022,Yes,Multiple RANGE per Chunk,4096,"[512, 512]",12288,33554432,5.47274
Fri Jun 10 16:31:51 2022,Yes,Multiple RANGE per Chunk,256,"[896, 0]",8192,33554432,5.35898
Fri Jun 10 16:32:09 2022,No,Multiple RANGE per Chunk,1024,"[512, 512]",1024,33554432,2.8776
Fri Jun 10 16:32:27 2022,No,One RANGE per Chunk,32768,"[0, 896]",1,4294837248,530.06
Fri Jun 10 16:41:30 2022,No,One RANGE per Chunk,512,"[768, 512]",1,67043328,19.2288
Fri Jun 10 16:42:03 2022,Yes,Multiple RANGE per Chunk,1024,"[512, 512]",9216,33554432,5.07604
Fri Jun 10 16:42:21 2022,Yes,One GET Per Chunk,16384,"[512, 768]",34,142606336,5.84012
Fri Jun 10 16:42:39 2022,No,One RANGE per Chunk,2048,"[512, 512]",1,268320768,72.0662
Fri Jun 10 16:43:57 2022,Yes,One RANGE per Chunk,1024,"[512, 512]",18,37748736,3.76882
Fri Jun 10 16:44:16 2022,Yes,One GET Per Chunk,8192,"[512, 512]",18,75497472,4.43881
Fri Jun 10 16:44:34 2022,No,Multiple RANGE per Chunk,4096,"[512, 512]",4096,33554432,3.90138
Fri Jun 10 16:44:52 2022,No,Multiple RANGE per Chunk,8192,"[512, 512]",8192,33554432,4.94151
Fri Jun 10 16:45:10 2022,No,Multiple RANGE per Chunk,1024,"[512, 512]",1024,33554432,3.87585
Fri Jun 10 16:45:28 2022,No,One RANGE per Chunk,32768,"[0, 896]",1,4294837248,566.922
Fri Jun 10 16:55:01 2022,No,Multiple RANGE per Chunk,32768,"[0, 896]",32768,33554432,17.214
Fri Jun 10 16:55:34 2022,Yes,One RANGE per Chunk,8192,"[512, 512]",18,67108864,5.43556
Fri Jun 10 16:55:52 2022,Yes,One GET Per Chunk,512,"[768, 512]",34,142606336,5.64646
Fri Jun 10 16:56:11 2022,No,Multiple RANGE per Chunk,2048,"[512, 512]",2048,33554432,3.88463
Fri Jun 10 16:56:29 2022,Yes,One GET Per Chunk,2048,"[512, 512]",15,62914560,4.3644
Fri Jun 10 16:56:47 2022,No,Multiple RANGE per Chunk,32768,"[0, 896]",32768,33554432,16.0341
Fri Jun 10 16:57:20 2022,Yes,One GET Per Chunk,1024,"[512, 512]",18,75497472,4.54238
Fri Jun 10 16:57:38 2022,Yes,One RANGE per Chunk,2048,"[512, 512]",15,41943040,4.29333
Fri Jun 10 16:57:56 2022,No,Multiple RANGE per Chunk,256,"[896, 0]",256,33554432,4.01461
Fri Jun 10 16:58:14 2022,Yes,One RANGE per Chunk,1024,"[512, 512]",18,37748736,4.22976
Fri Jun 10 16:58:32 2022,Yes,Multiple RANGE per Chunk,4096,"[512, 512]",12288,33554432,5.75874
Fri Jun 10 16:58:50 2022,No,One RANGE per Chunk,4096,"[512, 512]",1,536748032,123.581
Fri Jun 10 17:01:08 2022,No,One RANGE per Chunk,32768,"[0, 896]",1,4294837248,564.281
Fri Jun 10 17:10:42 2022,No,One RANGE per Chunk,1024,"[512, 512]",1,134119424,30.6584
Fri Jun 10 17:11:15 2022,Yes,Multiple RANGE per Chunk,32768,"[0, 896]",65536,33554432,23.4611
Fri Jun 10 17:11:48 2022,Yes,One RANGE per Chunk,1024,"[512, 512]",18,37748736,4.09979
Fri Jun 10 17:12:06 2022,Yes,One GET Per Chunk,16384,"[512, 768]",34,142606336,5.3545
Fri Jun 10 17:12:24 2022,Yes,Multiple RANGE per Chunk,8192,"[512, 512]",16384,33554432,10.0967
Fri Jun 10 17:12:42 2022,No,One RANGE per Chunk,256,"[896, 0]",1,33554432,11.3559
