Date,Type,Local computation,Row Size,# of request,I/O Size (Byte),Total Time (s)
Wed Apr 27 00:09:01 2022,range,Yes,256,256,33554432,2.74919
Wed Apr 27 00:09:20 2022,get,No,32768,32,134217728,5.73191
Wed Apr 27 00:09:38 2022,get,No,512,16,67108864,5.57687
Wed Apr 27 00:09:56 2022,merge,Yes,256,1,33554432,12.7305
Wed Apr 27 00:10:14 2022,merge,Yes,512,1,67043328,29.4875
Wed Apr 27 00:10:47 2022,merge,No,2048,1,268320768,89.7122
Wed Apr 27 00:12:20 2022,range,Yes,512,512,33554432,3.75363
Wed Apr 27 00:12:38 2022,merge,No,1024,1,134119424,46.1338
Wed Apr 27 00:13:41 2022,get,Yes,32768,32,134217728,6.32768
Wed Apr 27 00:13:59 2022,range,No,32768,32768,33554432,235.026
Wed Apr 27 00:18:03 2022,get,Yes,16384,16,67108864,5.45195
Wed Apr 27 00:18:21 2022,range,No,512,512,33554432,3.77795
Wed Apr 27 00:18:39 2022,range,Yes,512,512,33554432,3.02306
Wed Apr 27 00:18:57 2022,merge,Yes,4096,1,536748032,80.6529
Wed Apr 27 00:20:30 2022,get,Yes,1024,8,33554432,4.55811
Wed Apr 27 00:20:48 2022,range,No,256,256,33554432,2.80648
Wed Apr 27 00:21:06 2022,range,No,2048,2048,33554432,4.00383
Wed Apr 27 00:21:24 2022,get,Yes,512,16,67108864,4.82418
Wed Apr 27 00:21:42 2022,merge,No,8192,1,1073614848,138.344
Wed Apr 27 00:24:16 2022,range,Yes,1024,1024,33554432,3.10143
Wed Apr 27 00:24:34 2022,range,No,32768,32768,33554432,221.018
Wed Apr 27 00:28:22 2022,merge,Yes,32768,1,4294837248,501.56
Wed Apr 27 00:36:56 2022,range,Yes,8192,8192,33554432,53.1494
Wed Apr 27 00:37:59 2022,merge,Yes,2048,1,268320768,31.3035
Wed Apr 27 00:38:47 2022,merge,Yes,8192,1,1073614848,140.795
Wed Apr 27 00:41:20 2022,range,No,4096,4096,33554432,27.8823
Wed Apr 27 00:41:53 2022,range,Yes,32768,32768,33554432,213.697
Wed Apr 27 00:45:41 2022,merge,Yes,16384,1,2147354624,356.471
Wed Apr 27 00:51:45 2022,merge,Yes,1024,1,134119424,46.9593
Wed Apr 27 00:52:48 2022,get,No,16384,16,67108864,4.16479
Wed Apr 27 00:53:06 2022,get,Yes,256,32,134217728,5.91298
Wed Apr 27 00:53:24 2022,range,Yes,256,256,33554432,3.36107
Wed Apr 27 00:53:42 2022,get,No,1024,8,33554432,4.37318
Wed Apr 27 00:54:00 2022,get,Yes,4096,8,33554432,3.63046
Wed Apr 27 00:54:18 2022,merge,Yes,256,1,33554432,11.8674
Wed Apr 27 00:54:36 2022,get,Yes,256,32,134217728,6.00929
Wed Apr 27 00:54:54 2022,merge,No,1024,1,134119424,15.5701
Wed Apr 27 00:55:12 2022,range,No,8192,8192,33554432,43.1343
Wed Apr 27 00:56:01 2022,get,No,256,32,134217728,4.80395
Wed Apr 27 00:56:19 2022,get,No,8192,8,33554432,3.84338
Wed Apr 27 00:56:37 2022,merge,Yes,512,1,67043328,16.1115
Wed Apr 27 00:57:10 2022,merge,No,4096,1,536748032,158.046
Wed Apr 27 00:59:58 2022,range,No,4096,4096,33554432,25.0174
Wed Apr 27 01:00:31 2022,merge,Yes,512,1,67043328,12.5858
Wed Apr 27 01:00:49 2022,merge,Yes,32768,1,4294837248,468.759
Wed Apr 27 01:08:53 2022,get,Yes,2048,8,33554432,4.45085
Wed Apr 27 01:09:11 2022,range,Yes,32768,32768,33554432,248.586
Wed Apr 27 01:13:29 2022,range,Yes,4096,4096,33554432,29.4277
Wed Apr 27 01:14:02 2022,range,No,8192,8192,33554432,55.8598
Wed Apr 27 01:15:05 2022,get,No,256,32,134217728,5.92761
Wed Apr 27 01:15:24 2022,get,No,16384,16,67108864,5.32601
Wed Apr 27 01:15:42 2022,merge,No,16384,1,2147354624,256.667
Wed Apr 27 01:20:15 2022,get,Yes,4096,8,33554432,5.13587
Wed Apr 27 01:20:33 2022,get,No,8192,8,33554432,4.06193
Wed Apr 27 01:20:51 2022,merge,No,512,1,67043328,21.7474
Wed Apr 27 01:21:24 2022,merge,Yes,4096,1,536748032,183.123
Wed Apr 27 01:24:42 2022,get,Yes,16384,16,67108864,4.65681
Wed Apr 27 01:25:00 2022,get,No,256,32,134217728,5.13865
Wed Apr 27 01:25:19 2022,get,No,1024,8,33554432,5.39101
