Date,Real Size,Transferred Size(MB),Read Size(MB),Returned Size(MB),Total Time,Start Timestamp,End Timestamp,Billed Duration(ms)
Tue Sep 20 19:40:45 2022,4232052736,4096,64,4,37.0498,1663717246463,1663717301709,125.0
Tue Sep 20 19:41:50 2022,4311744512,4096,16,32,39.4481,1663717311054,1663717369513,35620.0
Tue Sep 20 19:42:54 2022,1040187392,1024,64,32,10.5133,1663717375221,1663717404501,6351.0
Tue Sep 20 19:43:28 2022,4299161600,4096,4,8,37.3632,1663717409387,1663717466907,435.0
Tue Sep 20 19:44:32 2022,4286578688,4096,16,8,37.4159,1663717473421,1663717529476,304.0
Tue Sep 20 19:45:36 2022,297795584,256,4,32,6.7647,1663717537387,1663717563115,5265.0
Tue Sep 20 19:46:10 2022,285212672,256,16,32,5.51293,1663717571245,1663717596565,4219.0
Tue Sep 20 19:46:44 2022,4311744512,4096,16,32,39.7949,1663717605312,1663717664071,37759.0
Tue Sep 20 19:48:04 2022,1077936128,1024,4,8,10.9305,1663717684754,1663717714273,2159.0
Tue Sep 20 19:48:38 2022,260046848,256,16,8,3.37425,1663717719095,1663717743206,322.0
Tue Sep 20 19:49:12 2022,255852544,256,16,4,5.17781,1663717752912,1663717778449,196.0
Tue Sep 20 19:49:48 2022,4294967296,4096,4,4,37.2158,1663717788987,1663717845039,158.0
Tue Sep 20 19:50:52 2022,234881024,256,64,32,3.82022,1663717852953,1663717877522,1952.0
Tue Sep 20 19:51:26 2022,1015021568,1024,64,8,10.6929,1663717887237,1663717916674,672.0
Tue Sep 20 19:52:00 2022,4282384384,4096,16,4,37.5326,1663717921178,1663717977966,178.0
Tue Sep 20 19:53:04 2022,1077936128,1024,4,8,10.915,1663717985336,1663718016829,300.0
Tue Sep 20 19:53:55 2022,209715200,256,64,8,3.59624,1663718035611,1663718057867,450.0
Tue Sep 20 19:54:28 2022,1015021568,1024,64,8,10.5218,1663718069211,1663718098735,326.0
Tue Sep 20 19:55:18 2022,4324327424,4096,4,32,39.837,1663718118536,1663718178367,37941.0
Tue Sep 20 19:56:37 2022,4232052736,4096,64,4,37.3518,1663718198386,1663718253978,207.0
Tue Sep 20 19:57:41 2022,1103101952,1024,4,32,14.7369,1663718262311,1663718295849,13115.0
Tue Sep 20 19:58:31 2022,1040187392,1024,64,32,10.0337,1663718312102,1663718341524,2275.0
Tue Sep 20 19:59:20 2022,297795584,256,4,32,3.29074,1663718361211,1663718384272,2254.0
Tue Sep 20 19:59:55 2022,205520896,256,64,4,2.95551,1663718395611,1663718417086,190.0
Tue Sep 20 20:00:29 2022,1077936128,1024,4,8,11.2003,1663718429586,1663718461729,4691.0
Tue Sep 20 20:01:19 2022,4294967296,4096,4,4,37.291,1663718480186,1663718536045,202.0
Tue Sep 20 20:02:23 2022,297795584,256,4,32,5.70161,1663718545177,1663718570848,4301.0
