Date,Transferred Size,Transferred Size(MB),Read Size(MB),Returned Size(MB),Total Time,Start Timestamp,End Timestamp,Billed Duration(ms)
Mon Sep 19 19:24:48 2022,8589934592,8192,32,32,73.7929,1663629889279,1663629982656,46121
Mon Sep 19 19:26:38 2022,8560574464,8164,32,4,74.0361,1663629998646,1663630093211,194
Mon Sep 19 19:28:27 2022,1073741824,1024,4,4,9.94834,1663630107704,1663630138247,162
Mon Sep 19 19:29:16 2022,4311744512,4112,16,32,39.5842,1663630156612,1663630215789,36965
Mon Sep 19 19:30:21 2022,2147483648,2048,8,8,19.3077,1663630222695,1663630262023,361
Mon Sep 19 19:31:10 2022,1073741824,1024,4,4,10.0817,1663630271387,1663630300337,156
Mon Sep 19 19:31:45 2022,8564768768,8168,32,8,73.6055,1663630305895,1663630397713,419
Mon Sep 19 19:33:34 2022,4294967296,4096,16,16,37.6493,1663630414845,1663630472883,18456
Mon Sep 19 19:34:40 2022,1077936128,1028,4,8,10.4537,1663630480711,1663630509413,1192
Mon Sep 19 19:35:14 2022,4311744512,4112,16,32,39.2441,1663630514611,1663630579177,36500
Mon Sep 19 19:36:49 2022,8589934592,8192,32,32,74.1244,1663630610286,1663630703837,58267
Mon Sep 19 19:38:38 2022,2143289344,2044,8,4,19.1178,1663630719144,1663630756796,166
Mon Sep 19 19:39:27 2022,2172649472,2072,8,32,22.8525,1663630768377,1663630809740,20812
Mon Sep 19 19:40:16 2022,1086324736,1036,4,16,11.9825,1663630817361,1663630848838,6923
Mon Sep 19 19:41:06 2022,2172649472,2072,8,32,22.6474,1663630867219,1663630909149,20988
Mon Sep 19 19:41:56 2022,2155872256,2056,8,16,20.3488,1663630916861,1663630956672,15163
Mon Sep 19 19:42:45 2022,4286578688,4088,16,8,37.1804,1663630965869,1663631022982,2570
