Date,Object Size (MB),Total Time
Tue Apr 19 17:09:14 2022,256,185.794
Tue Apr 19 17:12:33 2022,4,78.2286
Tue Apr 19 17:14:06 2022,1024,308.909
Tue Apr 19 17:19:24 2022,256,164.055
Tue Apr 19 17:22:12 2022,16,79.3315
Tue Apr 19 17:23:45 2022,256,129.931
Tue Apr 19 17:26:04 2022,16,78.1299
Tue Apr 19 17:27:37 2022,1024,311.209
Tue Apr 19 17:32:55 2022,4,78.582
Tue Apr 19 17:34:28 2022,1,77.3764
Tue Apr 19 17:36:02 2022,64,88.2082
Tue Apr 19 17:37:35 2022,1,77.6452
Tue Apr 19 17:39:08 2022,64,88.2151
Tue Apr 19 17:40:41 2022,64,87.5449
Tue Apr 19 17:42:14 2022,1024,323.132
Tue Apr 19 17:47:48 2022,4,77.5953
Tue Apr 19 17:49:21 2022,1,77.5133
Tue Apr 19 17:50:54 2022,16,78.1977
