Date,# of connections,IO Size (GB),Total Time
Mon Mar 21 17:02:48 2022,1,4,774.597
Mon Mar 21 17:15:52 2022,4,4,325.277
Mon Mar 21 17:21:25 2022,4,4,338.285
Mon Mar 21 17:27:14 2022,1,4,650.481
Mon Mar 21 17:38:17 2022,2,4,600.402
Mon Mar 21 17:48:21 2022,4,4,325.377
Mon Mar 21 17:53:54 2022,1,4,882.471
Mon Mar 21 18:08:43 2022,2,4,425.733
Mon Mar 21 18:16:01 2022,2,4,527.4
