Date,Type,Selectivity,Total Time (s),Cost ($),Transfer Size (bytes)
,,,0,,
Sun Mar 26 18:36:54 2023,HSDS,0.05,849.4794821739197,0.5255959942817688,7000071840
Sun Mar 26 18:38:57 2023,HSDS,0.01,207.43399858474731,0.10382143096923828,1382730240
Sun Mar 26 18:40:00 2023,HSDS,0.01,187.71179676055908,0.10382143096923828,1382730240
Sun Mar 26 18:41:03 2023,HSDS,0.1,1683.4664368629456,1.0511919885635377,14000143680
Sun Mar 26 18:44:07 2023,HSDS,0.05,869.9061846733093,0.5255959942817688,7000071840
Sun Mar 26 18:46:10 2023,HSDS,0.1,1636.3145017623901,1.0511919885635377,14000143680
