Date,Type,Selectivity,Total Time (s),Cost ($),Transfer Size (bytes)
,,,0,,
Sun Mar 26 21:00:33 2023,HSDS,0.05,841.9102621078491,0.5899792435669899,7000071840
Sun Mar 26 21:02:36 2023,HSDS,0.1,1650.382478237152,1.1799584871339799,14000143680
Sun Mar 26 21:05:39 2023,HSDS,0.05,771.1825585365295,0.5899792435669899,7000071840
Sun Mar 26 21:07:42 2023,HSDS,0.01,186.5587854385376,0.11653910984039306,1382730240
Sun Mar 26 21:08:45 2023,HSDS,0.1,1546.8793296813965,1.1799584871339799,14000143680
Sun Mar 26 21:11:49 2023,HSDS,0.01,194.07304525375366,0.11653910984039306,1382730240
