Date,Executor,Type,Row Size,# of request,I/O Size (Bytes),Total Time (s)
Wed Jun  1 14:46:01 2022,Default,get,512,16,67108864,4.74931
Wed Jun  1 14:46:19 2022,Pooled,range,32768,32768,33554432,13.8895
Wed Jun  1 14:46:37 2022,Pooled,range,2048,2048,33554432,3.88966
Wed Jun  1 14:46:55 2022,Default,range,32768,32768,33554432,253.856
Wed Jun  1 14:51:13 2022,Default,merge,1024,1,134119424.0,36.264
Wed Jun  1 14:52:01 2022,Default,get,1024,8,33554432,4.58756
Wed Jun  1 14:52:19 2022,Pooled,merge,1024,1,134119424.0,29.1053
Wed Jun  1 14:52:53 2022,Pooled,merge,1024,1,134119424.0,43.4504
Wed Jun  1 14:53:41 2022,Pooled,get,256,32,134217728,6.473
Wed Jun  1 14:53:59 2022,Pooled,get,2048,8,33554432,5.29804
Wed Jun  1 14:54:17 2022,Pooled,range,512,512,33554432,4.02738
Wed Jun  1 14:54:35 2022,Pooled,merge,16384,1,2147354624.0,341.642
Wed Jun  1 15:00:23 2022,Default,merge,8192,1,1073614848.0,182.144
Wed Jun  1 15:03:42 2022,Default,merge,256,1,33554432.0,11.6596
Wed Jun  1 15:04:00 2022,Pooled,merge,256,1,33554432.0,8.40825
Wed Jun  1 15:04:18 2022,Default,range,512,512,33554432,3.75873
Wed Jun  1 15:04:36 2022,Pooled,range,2048,2048,33554432,3.84274
Wed Jun  1 15:04:54 2022,Default,merge,2048,1,268320768.0,84.6117
Wed Jun  1 15:06:27 2022,Pooled,range,8192,8192,33554432,5.17868
Wed Jun  1 15:06:45 2022,Default,get,2048,8,33554432,4.14773
Wed Jun  1 15:07:03 2022,Pooled,range,1024,1024,33554432,3.84167
Wed Jun  1 15:07:21 2022,Default,get,2048,8,33554432,3.29655
Wed Jun  1 15:07:39 2022,Pooled,range,8192,8192,33554432,4.37983
Wed Jun  1 15:07:57 2022,Pooled,range,4096,4096,33554432,3.83792
Wed Jun  1 15:08:15 2022,Default,merge,32768,1,4294837248.0,491.15
Wed Jun  1 15:16:34 2022,Pooled,merge,2048,1,268320768.0,60.4437
Wed Jun  1 15:17:37 2022,Default,get,2048,8,33554432,4.21587
Wed Jun  1 15:17:55 2022,Default,merge,16384,1,2147354624.0,148.708
Wed Jun  1 15:20:28 2022,Default,range,2048,2048,33554432,3.1226
Wed Jun  1 15:20:46 2022,Default,range,512,512,33554432,3.83284
Wed Jun  1 15:21:05 2022,Pooled,merge,32768,1,4294837248.0,474.087
Wed Jun  1 15:29:08 2022,Pooled,merge,8192,1,1073614848.0,87.8746
Wed Jun  1 15:30:41 2022,Pooled,merge,4096,1,536748032.0,115.466
Wed Jun  1 15:32:44 2022,Default,get,8192,8,33554432,4.62495
Wed Jun  1 15:33:02 2022,Default,range,256,256,33554432,3.9356
Wed Jun  1 15:33:21 2022,Pooled,get,8192,8,33554432,3.71141
Wed Jun  1 15:33:39 2022,Default,range,1024,1024,33554432,3.79894
Wed Jun  1 15:33:57 2022,Default,merge,1024,1,134119424.0,38.7967
Wed Jun  1 15:34:45 2022,Pooled,get,16384,16,67108864,4.8609
Wed Jun  1 15:35:03 2022,Pooled,get,4096,8,33554432,4.47168
Wed Jun  1 15:35:21 2022,Pooled,range,16384,16384,33554432,8.15433
Wed Jun  1 15:35:39 2022,Default,get,1024,8,33554432,3.48235
Wed Jun  1 15:35:57 2022,Default,range,2048,2048,33554432,3.75022
Wed Jun  1 15:36:15 2022,Default,get,16384,16,67108864,4.91661
Wed Jun  1 15:36:33 2022,Default,merge,16384,1,2147354624.0,327.529
Wed Jun  1 15:42:07 2022,Default,get,8192,8,33554432,3.70871
Wed Jun  1 15:42:25 2022,Pooled,get,1024,8,33554432,3.365
Wed Jun  1 15:42:43 2022,Default,merge,256,1,33554432.0,12.0186
Wed Jun  1 15:43:01 2022,Pooled,merge,4096,1,536748032.0,99.4293
Wed Jun  1 15:44:49 2022,Default,range,16384,16384,33554432,127.315
Wed Jun  1 15:47:07 2022,Default,get,32768,32,134217728,4.5695
Wed Jun  1 15:47:26 2022,Default,merge,512,1,67043328.0,24.3088
Wed Jun  1 15:47:59 2022,Pooled,get,256,32,134217728,5.95554
Wed Jun  1 15:48:17 2022,Pooled,merge,2048,1,268320768.0,90.4207
Wed Jun  1 15:49:50 2022,Pooled,range,512,512,33554432,3.90644
Wed Jun  1 15:50:08 2022,Default,merge,4096,1,536748032.0,110.845
Wed Jun  1 15:52:11 2022,Pooled,merge,512,1,67043328.0,20.2656
Wed Jun  1 15:52:44 2022,Pooled,range,2048,2048,33554432,3.81651
Wed Jun  1 15:53:02 2022,Default,get,16384,16,67108864,4.82181
Wed Jun  1 15:53:20 2022,Default,get,32768,32,134217728,4.34492
Wed Jun  1 15:53:38 2022,Default,merge,4096,1,536748032.0,179.973
Wed Jun  1 15:56:42 2022,Pooled,merge,32768,1,4294837248.0,534.879
Wed Jun  1 16:05:45 2022,Pooled,get,32768,32,134217728,5.55808
