Date,Object Size (MB),Total Time
Sun Mar 27 21:37:26 2022,1,3.16935
Sun Mar 27 21:37:44 2022,32,27.1404
Sun Mar 27 21:38:17 2022,32,20.3532
Sun Mar 27 21:38:50 2022,1024,378.598
Sun Mar 27 21:45:24 2022,32,20.6455
Sun Mar 27 21:45:57 2022,1024,276.838
Sun Mar 27 21:50:45 2022,1,3.46633
Sun Mar 27 21:51:03 2022,1,3.27857
Sun Mar 27 21:51:21 2022,1024,397.851
